CNPJ;Razão Social;Código da categoria;Descrição da categoria;Código da atividade;Descrição da atividade;Data de início da atividade;Data de término da atividade;Potenc. de Pol. da atividade;Município;Estado;Latitude;Longitude;Situação cadastral;Última Atualização Relatório
00220439000472;Q AVELINO NETO;18;Transporte, Terminais, Depósitos e Comércio;54;comércio de combustíveis e derivados de petróleo - Gás GLP;01/04/2003;29/06/2018;Alto;RIO GRANDE DO PIAUI;PIAUI;-7,783056;-43,131389;Encerrado;21/03/2026 20:27
00220439000553;QUIRINO AVELINO NETO-POSTO AELINO;18;Transporte, Terminais, Depósitos e Comércio;6;Comércio de combustíveis e derivados de petróleo;16/11/2007;08/05/2020;Alto;SAO JOAO DO PIAUI;PIAUI;-8,354167;-42,2575;Encerrado;21/03/2026 20:27
00220439000553;QUIRINO AVELINO NETO-POSTO AELINO;18;Transporte, Terminais, Depósitos e Comércio;54;comércio de combustíveis e derivados de petróleo - Gás GLP;30/08/2007;29/06/2018;Alto;SAO JOAO DO PIAUI;PIAUI;-8,354167;-42,2575;Encerrado;21/03/2026 20:27
00220448000110;LUIS SIMIÃO DE SOUSA;16;Indústria de Produtos Alimentares e Bebidas;1;Beneficiamento, moagem, torrefação e fabricação de produtos alimentares;01/01/2001;18/08/2007;Médio;TERESINA;PIAUI;;;Encerrado;21/03/2026 20:27
00220448000110;LUIS SIMIÃO DE SOUSA;20;Uso de Recursos Naturais;2;Exploração econômica da madeira ou lenha e subprodutos florestais (floresta nativa);01/01/2001;21/06/2004;Médio;TERESINA;PIAUI;;;Encerrado;21/03/2026 20:27
00220448000110;LUIS SIMIÃO DE SOUSA;20;Uso de Recursos Naturais;9;Consumo de madeira, lenha ou carvão vegetal;01/01/2001;18/08/2007;...;TERESINA;PIAUI;;;Encerrado;21/03/2026 20:27
00227279000140;J B CARBON S/A;20;Uso de Recursos Naturais;1;silvicultura;30/08/2006;01/08/2021;Médio;REDENCAO DO GURGUEIA;PIAUI;-9,68;-44,188333;Ativa;21/03/2026 20:27
00227279000140;J B CARBON S/A;20;Uso de Recursos Naturais;2;Exploração econômica da madeira ou lenha e subprodutos florestais (floresta nativa);30/08/2006;;Médio;REDENCAO DO GURGUEIA;PIAUI;-9,68;-44,188333;Ativa;21/03/2026 20:27
00227279000140;J B CARBON S/A;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;27;Porte e uso de motosserra - Lei nº 12.651/2010: art. 69, § 1º;18/01/2007;;...;REDENCAO DO GURGUEIA;PIAUI;-9,68;-44,188333;Ativa;21/03/2026 20:27
00234704000129;R M ESTRUTURA E PAVIMENTACAO LTDA;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;1;Reparação de aparelhos de refrigeração;01/05/2013;28/06/2018;...;TERESINA;PIAUI;-5,086917;-42,811389;Ativa;21/03/2026 20:27
00234704000129;R M ESTRUTURA E PAVIMENTACAO LTDA;22;Obras civis -  não relacionadas no Anexo VIII da Lei nº 6.938/1981;1;Rodovias, ferrovias, hidrovias, metropolitanos - Lei nº 6.938/1981: art. 10;10/10/1994;;...;TERESINA;PIAUI;-5,086917;-42,811389;Ativa;21/03/2026 20:27
00234704000129;R M ESTRUTURA E PAVIMENTACAO LTDA;22;Obras civis -  não relacionadas no Anexo VIII da Lei nº 6.938/1981;2;Construção de barragens e diques - Lei nº 6.938/1981: art. 10;10/10/1994;;...;TERESINA;PIAUI;-5,086917;-42,811389;Ativa;21/03/2026 20:27
00234704000129;R M ESTRUTURA E PAVIMENTACAO LTDA;22;Obras civis -  não relacionadas no Anexo VIII da Lei nº 6.938/1981;3;Construção de canais para drenagem - Lei nº 6.938/1981: art. 10;10/10/1994;;...;TERESINA;PIAUI;-5,086917;-42,811389;Ativa;21/03/2026 20:27
00234704000129;R M ESTRUTURA E PAVIMENTACAO LTDA;22;Obras civis -  não relacionadas no Anexo VIII da Lei nº 6.938/1981;5;Abertura de barras, embocaduras e canais - Lei nº 6.938/1981: art. 10;10/10/1994;;...;TERESINA;PIAUI;-5,086917;-42,811389;Ativa;21/03/2026 20:27
