CNPJ;Razão Social;Código da categoria;Descrição da categoria;Código da atividade;Descrição da atividade;Data de início da atividade;Data de término da atividade;Potenc. de Pol. da atividade;Município;Estado;Latitude;Longitude;Situação cadastral;Última Atualização Relatório
07543281000178;COOPERATIVA DE HABITAÇÃO - NOSSA CASA;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;48;Consumo industrial de madeira, de lenha e de carvão vegetal - Lei nº 12.651/2012: art. 34;29/06/2018;;...;RECIFE;PERNAMBUCO;;;Suspenso para Averiguações - dados cadastrais inconsistentes e_ou recadastramento;21/03/2026 20:27
07543281000178;COOPERATIVA DE HABITAÇÃO - NOSSA CASA;22;Obras civis -  não relacionadas no Anexo VIII da Lei nº 6.938/1981;8;Outras obras de infraestrutura - Lei nº 6.938/1981: art. 10;09/08/2005;;...;RECIFE;PERNAMBUCO;;;Suspenso para Averiguações - dados cadastrais inconsistentes e_ou recadastramento;21/03/2026 20:27
07543642000186;R & C COMERCIO DE COMBUSTIVEIS E LUBRIFICANTES LTDA;18;Transporte, Terminais, Depósitos e Comércio;6;Comércio de combustíveis e derivados de petróleo;02/01/2006;16/05/2013;Alto;SERRITA;PERNAMBUCO;;;Encerrado;21/03/2026 20:27
07544385000105;J PRIM PEREIRA FILHO FERRAMENTAS;18;Transporte, Terminais, Depósitos e Comércio;67;Comércio de motosserra;30/07/2011;29/06/2018;...;CARUARU;PERNAMBUCO;;;Suspenso para Averiguações - dados cadastrais inconsistentes e_ou recadastramento;21/03/2026 20:27
07544385000105;J PRIM PEREIRA FILHO FERRAMENTAS;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;73;Comercialização de motosserra - Lei nº 12.651/2012: art. 69;29/06/2018;;...;CARUARU;PERNAMBUCO;;;Suspenso para Averiguações - dados cadastrais inconsistentes e_ou recadastramento;21/03/2026 20:27
07545117000108;A G Comercio e Serviços de Engenharia Ltda.;17;Serviços de Utilidade;4;Destinação de resíduos de esgotos sanitários e de resíduos sólidos urbanos, inclusive aqueles provenientes de fossas;17/08/2005;30/12/2013;Médio;CARPINA;PERNAMBUCO;;;Encerrado;21/03/2026 20:27
07546763000181;CLEONICE ALVES CORDEIRO - EPP;18;Transporte, Terminais, Depósitos e Comércio;6;Comércio de combustíveis e derivados de petróleo;11/08/2005;19/11/2018;Alto;FLORES;PERNAMBUCO;;;Encerrado;21/03/2026 20:27
07548489000180;SEVERINO ANTONIO DA SILVA TORITAMA;11;Indústria Têxtil, de Vestuário, Calçados e Artefatos de Tecidos;3;Tingimento, estamparia e outros acabamentos em peças do vestuário e artigos diversos de tecidos;18/08/2005;;Médio;TORITAMA;PERNAMBUCO;-8,006667;-36,056667;Ativa;21/03/2026 20:27
07548489000180;SEVERINO ANTONIO DA SILVA TORITAMA;20;Uso de Recursos Naturais;9;Consumo de madeira, lenha ou carvão vegetal;18/08/2005;29/06/2018;...;TORITAMA;PERNAMBUCO;-8,006667;-36,056667;Ativa;21/03/2026 20:27
07548489000180;SEVERINO ANTONIO DA SILVA TORITAMA;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;48;Consumo industrial de madeira, de lenha e de carvão vegetal - Lei nº 12.651/2012: art. 34;29/06/2018;;...;TORITAMA;PERNAMBUCO;-8,006667;-36,056667;Ativa;21/03/2026 20:27
07549039000101;RA - COMERCIO E FABRICACAO DE PLASTICOS LTDA;12;Indústria de Produtos de Matéria Plástica.;2;Fabricação de artefatos de material plástico;09/08/2005;;Pequeno;GRAVATA;PERNAMBUCO;-8,201111;-35,564722;Ativa;21/03/2026 20:27
07550826000173;A.G. COMÉRCIO DE DERIVADOS DE PETRÓLEO LTDA.;18;Transporte, Terminais, Depósitos e Comércio;6;Comércio de combustíveis e derivados de petróleo;31/05/2006;07/08/2008;Alto;RECIFE;PERNAMBUCO;;;Encerrado;21/03/2026 20:27
07550983000189;LUCIANO BEZERRA QUIRINO ME;7;Indústria de Madeira;3;Fabricação de chapas, placas de madeira aglomerada, prensada e compensada;22/12/2004;31/10/2006;Médio;JABOATAO DOS GUARARAPES;PERNAMBUCO;-8,112778;-35,014722;Ativa;21/03/2026 20:27
