CNPJ;Razão Social;Código da categoria;Descrição da categoria;Código da atividade;Descrição da atividade;Data de início da atividade;Data de término da atividade;Potenc. de Pol. da atividade;Município;Estado;Latitude;Longitude;Situação cadastral;Última Atualização Relatório
00202998000107;restaurante e pizzaria mamma tutti ltda;20;Uso de Recursos Naturais;2;Exploração econômica da madeira ou lenha e subprodutos florestais (floresta nativa);01/10/2003;23/03/2004;Médio;JOAO PESSOA;PARAIBA;;;Cadastramento indevido;21/03/2026 20:27
00202998000107;restaurante e pizzaria mamma tutti ltda;20;Uso de Recursos Naturais;5;Utilização do patrimônio genético natural;01/10/2003;16/12/2003;Médio;JOAO PESSOA;PARAIBA;;;Cadastramento indevido;21/03/2026 20:27
00202998000107;restaurante e pizzaria mamma tutti ltda;20;Uso de Recursos Naturais;9;Consumo de madeira, lenha ou carvão vegetal;01/01/2004;12/09/2006;...;JOAO PESSOA;PARAIBA;;;Cadastramento indevido;21/03/2026 20:27
00203002000188;JOSILEILA LUCIO DINIZ;20;Uso de Recursos Naturais;2;Exploração econômica da madeira ou lenha e subprodutos florestais (floresta nativa);01/01/2004;27/10/2006;Médio;SAO BENTO;PARAIBA;-6,509086;-37,457886;Ativa;21/03/2026 20:27
00203002000188;JOSILEILA LUCIO DINIZ;20;Uso de Recursos Naturais;34;exploração econômica da madeira ou lenha e subprodutos florestais - comércio varejista;15/05/1995;29/06/2018;Médio;SAO BENTO;PARAIBA;-6,509086;-37,457886;Ativa;21/03/2026 20:27
00203002000188;JOSILEILA LUCIO DINIZ;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;68;Comércio varejista de madeira, de lenha e de outros subprodutos florestais - Lei nº 12.651/2012: art. 37;29/06/2018;;...;SAO BENTO;PARAIBA;-6,509086;-37,457886;Ativa;21/03/2026 20:27
00213103000130;INDUSTRIA E COMERCIO DE ESQUADRIAS EIRELI;7;Indústria de Madeira;1;Serraria e desdobramento de madeira;29/09/1994;;Médio;JOAO PESSOA;PARAIBA;-7,157778;-34,791667;Ativa;21/03/2026 20:27
00213103000130;INDUSTRIA E COMERCIO DE ESQUADRIAS EIRELI;7;Indústria de Madeira;3;Fabricação de chapas, placas de madeira aglomerada, prensada e compensada;29/09/1994;25/08/2010;Médio;JOAO PESSOA;PARAIBA;-7,157778;-34,791667;Ativa;21/03/2026 20:27
00213103000130;INDUSTRIA E COMERCIO DE ESQUADRIAS EIRELI;7;Indústria de Madeira;4;Fabricação de estruturas de madeira e de móveis;29/09/1994;;Médio;JOAO PESSOA;PARAIBA;-7,157778;-34,791667;Ativa;21/03/2026 20:27
00213103000130;INDUSTRIA E COMERCIO DE ESQUADRIAS EIRELI;20;Uso de Recursos Naturais;34;exploração econômica da madeira ou lenha e subprodutos florestais - comércio varejista;26/10/2012;29/06/2018;Médio;JOAO PESSOA;PARAIBA;-7,157778;-34,791667;Ativa;21/03/2026 20:27
00213103000130;INDUSTRIA E COMERCIO DE ESQUADRIAS EIRELI;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;68;Comércio varejista de madeira, de lenha e de outros subprodutos florestais - Lei nº 12.651/2012: art. 37;29/06/2018;;...;JOAO PESSOA;PARAIBA;-7,157778;-34,791667;Ativa;21/03/2026 20:27
00235798000827;TERRA FERTIL COMERCIO E REPRESENTAÇÃO LTDA;18;Transporte, Terminais, Depósitos e Comércio;18;comércio de produtos químicos e produtos perigosos - fertilizantes;06/07/2011;29/06/2018;Alto;SOUSA;PARAIBA;-6,783772;-38,275594;Ativa;21/03/2026 20:27
00235798000827;TERRA FERTIL COMERCIO E REPRESENTAÇÃO LTDA;18;Transporte, Terminais, Depósitos e Comércio;24;transporte rodoviário de cargas não-perigosas  produtos agropecuários;06/07/2011;10/02/2014;...;SOUSA;PARAIBA;-6,783772;-38,275594;Ativa;21/03/2026 20:27
00235798000827;TERRA FERTIL COMERCIO E REPRESENTAÇÃO LTDA;18;Transporte, Terminais, Depósitos e Comércio;66;Comércio de produtos químicos e produtos perigosos - Lei nº 7.802/1989;06/07/2011;;Alto;SOUSA;PARAIBA;-6,783772;-38,275594;Ativa;21/03/2026 20:27
00235798000827;TERRA FERTIL COMERCIO E REPRESENTAÇÃO LTDA;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;73;Comercialização de motosserra - Lei nº 12.651/2012: art. 69;01/12/2017;;...;SOUSA;PARAIBA;-6,783772;-38,275594;Ativa;21/03/2026 20:27
00239059000137;REGINALDO MONTEIRO GOMES;18;Transporte, Terminais, Depósitos e Comércio;11;Transporte de produtos florestais;07/04/2014;29/06/2018;...;POMBAL;PARAIBA;-6,7625;-37,795833;Ativa;21/03/2026 20:27
00239059000137;REGINALDO MONTEIRO GOMES;20;Uso de Recursos Naturais;2;Exploração econômica da madeira ou lenha e subprodutos florestais (floresta nativa);01/04/2004;03/01/2007;Médio;POMBAL;PARAIBA;-6,7625;-37,795833;Ativa;21/03/2026 20:27
00239059000137;REGINALDO MONTEIRO GOMES;20;Uso de Recursos Naturais;24;atividade de criação e exploração econômica de fauna exótica e de fauna silvestre - comércio de partes produtos e subprodutos;01/04/2004;21/05/2004;Médio;POMBAL;PARAIBA;-6,7625;-37,795833;Ativa;21/03/2026 20:27
00239059000137;REGINALDO MONTEIRO GOMES;20;Uso de Recursos Naturais;34;exploração econômica da madeira ou lenha e subprodutos florestais - comércio varejista;01/04/2004;29/06/2018;Médio;POMBAL;PARAIBA;-6,7625;-37,795833;Ativa;21/03/2026 20:27
00239059000137;REGINALDO MONTEIRO GOMES;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;49;Transporte de produtos florestais - Lei nº 12.651/2012: art. 36;29/06/2018;;...;POMBAL;PARAIBA;-6,7625;-37,795833;Ativa;21/03/2026 20:27
00239059000137;REGINALDO MONTEIRO GOMES;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;50;Armazenamento de produtos florestais - Lei nº 12.651/2012: art. 36;29/06/2018;;...;POMBAL;PARAIBA;-6,7625;-37,795833;Ativa;21/03/2026 20:27
00239059000137;REGINALDO MONTEIRO GOMES;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;68;Comércio varejista de madeira, de lenha e de outros subprodutos florestais - Lei nº 12.651/2012: art. 37;29/06/2018;;...;POMBAL;PARAIBA;-6,7625;-37,795833;Ativa;21/03/2026 20:27
00239059000218;REGINALDO MONTEIRO GOMES ME;18;Transporte, Terminais, Depósitos e Comércio;11;Transporte de produtos florestais;08/04/2014;29/06/2018;...;POMBAL;PARAIBA;-6,765;-37,794167;Ativa;21/03/2026 20:27
00239059000218;REGINALDO MONTEIRO GOMES ME;20;Uso de Recursos Naturais;34;exploração econômica da madeira ou lenha e subprodutos florestais - comércio varejista;23/02/2006;29/06/2018;Médio;POMBAL;PARAIBA;-6,765;-37,794167;Ativa;21/03/2026 20:27
00239059000218;REGINALDO MONTEIRO GOMES ME;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;49;Transporte de produtos florestais - Lei nº 12.651/2012: art. 36;29/06/2018;;...;POMBAL;PARAIBA;-6,765;-37,794167;Ativa;21/03/2026 20:27
00239059000218;REGINALDO MONTEIRO GOMES ME;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;50;Armazenamento de produtos florestais - Lei nº 12.651/2012: art. 36;29/06/2018;;...;POMBAL;PARAIBA;-6,765;-37,794167;Ativa;21/03/2026 20:27
00239059000218;REGINALDO MONTEIRO GOMES ME;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;68;Comércio varejista de madeira, de lenha e de outros subprodutos florestais - Lei nº 12.651/2012: art. 37;29/06/2018;;...;POMBAL;PARAIBA;-6,765;-37,794167;Ativa;21/03/2026 20:27
00248739000117;PEDRO LUIZ DE SOUZA FILHO EPP;20;Uso de Recursos Naturais;2;Exploração econômica da madeira ou lenha e subprodutos florestais (floresta nativa);13/08/2015;30/06/2017;Médio;MARI;PARAIBA;-7,051;-35,319417;Encerrado;21/03/2026 20:27
00248739000117;PEDRO LUIZ DE SOUZA FILHO EPP;20;Uso de Recursos Naturais;32;comércio de materiais de construção que comercializa subprodutos florestais, até cem metros cúbicos ano;05/04/1995;29/06/2018;...;MARI;PARAIBA;-7,051;-35,319417;Encerrado;21/03/2026 20:27
00248739000117;PEDRO LUIZ DE SOUZA FILHO EPP;20;Uso de Recursos Naturais;34;exploração econômica da madeira ou lenha e subprodutos florestais - comércio varejista;01/10/2013;30/06/2017;Médio;MARI;PARAIBA;-7,051;-35,319417;Encerrado;21/03/2026 20:27
00248741000196;JOSE CLAUDIVAM DE OLIVEIRA;20;Uso de Recursos Naturais;17;atividade agrícola e pecuária;01/06/2014;29/06/2018;...;PATOS;PARAIBA;-7,007514;-37,2794;Encerrado;21/03/2026 20:27
00248741000196;JOSE CLAUDIVAM DE OLIVEIRA;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;62;Manutenção de área passível de Ato Declaratório Ambiental - Lei nº 6.938/1981: art. 17-O;29/06/2018;01/09/2021;...;PATOS;PARAIBA;-7,007514;-37,2794;Encerrado;21/03/2026 20:27
00254819000185;E F ALMEIDA E CIA LTDA ME;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;3;Utilização de substâncias controladas - Protocolo de Montreal;02/04/2012;09/02/2015;...;JOAO PESSOA;PARAIBA;;;Encerrado;21/03/2026 20:27
00263846000114;AUTO FRIO REFRIG LTDA ME;21;Atividades não relacionadas no Anexo VIII da Lei nº 6.938/1981;3;Utilização de substâncias controladas - Protocolo de Montreal;17/06/1999;;...;JOAO PESSOA;PARAIBA;;;Suspenso para Averiguações - dados cadastrais inconsistentes e_ou recadastramento;21/03/2026 20:27
00270980000142;QUIMICA MOURA INDUSTRIA E COMERCIO LTDA;15;Indústria Química;9;Fabricação de preparados para limpeza e polimento, desinfetantes, inseticidas, germicidas e fungicidas;31/10/1994;;Alto;CAMPINA GRANDE;PARAIBA;-7,230556;-35,881083;Ativa;21/03/2026 20:27
00270980000142;QUIMICA MOURA INDUSTRIA E COMERCIO LTDA;18;Transporte, Terminais, Depósitos e Comércio;7;Comércio de produtos químicos e produtos perigosos;31/10/1994;;Alto;CAMPINA GRANDE;PARAIBA;-7,230556;-35,881083;Ativa;21/03/2026 20:27
00270984000120;CAMPINA COUROS IND E COM LTDA;10;Indústria de Couros e Peles;3;Fabricação de artefatos diversos de couros e peles;27/10/1994;22/08/2006;Alto;CAMPINA GRANDE;PARAIBA;;;Encerrado;21/03/2026 20:27
00270984000120;CAMPINA COUROS IND E COM LTDA;11;Indústria Têxtil, de Vestuário, Calçados e Artefatos de Tecidos;1;Beneficiamento de fibras têxteis, vegetais, de origem animal e sintéticos;27/10/1994;22/08/2006;Médio;CAMPINA GRANDE;PARAIBA;;;Encerrado;21/03/2026 20:27
